id,case_node,root_cause
1,100d0afdfd07bc22,Normal
2,100df5e0900e481c,Access Denied
3,10103213cb147bca,Normal
4,1017b928f5acc503,Normal
5,101b28e207fd4ee,Access Denied
6,10241e72d714ab66,Normal
7,102524a913e679ed,Access Denied
8,1029bd3ef18183c9,Normal
9,102c854cf8716993,Normal
10,103588f7bee4e28a,Normal
11,103abe550cae9123,Normal
12,104332efbfbf3100,Access Denied
13,1044028c055acf42,Access Denied
14,1045e8558e815066,Access Denied
15,104abf63a302b1a7,Access Denied
16,104b733beafb221f,Normal
17,104ef910769d6e02,Normal
18,104fab59f5bd80a,Access Denied
19,1051226b8dea951e,Normal
20,10536d9e38e9b6da,Normal
21,105caa11375b308f,Normal
22,106343f68109301f,Access Denied
23,1063b5c2f1ff13eb,Normal
24,1066d5bb4c17285c,Normal
25,106bedb819e4b406,Access Denied
26,107111e881cc8483,Normal
27,1079078c3fa07c0e,Normal
28,1079ad14dae770d9,Normal
29,1083edf6f8af0b01,Access Denied
30,108663fe5cf17af2,Normal
31,1089e49c8642b84b,Normal
32,108c78f6583d12f7,Normal
33,108de0bcb5fdff31,Access Denied
34,108e5601094d88e,Access Denied
35,10912d62ec9d128d,Normal
36,109e8f0e4665d9df,Access Denied
37,10a768689a1ac00b,Normal
38,10a873ea31c5e966,Normal
39,10a9006b62bc2360,Normal
40,10a9010b3fef2002,Normal
41,10abc76d2dc1ea01,Access Denied
42,10b127581c919e44,Access Denied
43,10b39249c96f7841,Normal
44,10b91c17aec2e0f9,Access Denied
45,10be61b765a89814,Normal
46,10c09db2a06ed7b5,Access Denied
47,10c52ea4a5031a07,Normal
48,10ce164876817066,Normal
49,10ce5019c308c319,Normal
50,10d4f5c17ac1b5a7,Normal
51,10d59d8008ab6ba9,Access Denied
52,10d71925ef7ea3b2,Normal
53,10dbebd93c580009,Access Denied
54,10dfc06a23909d5e,Access Denied
55,10e785ce40448d69,Normal
56,10e953fdcc8c40e4,Access Denied
57,10e9b5734ccd9a9b,Normal
58,10ea4c3442efa67b,Normal
59,10ea96b6f2a38166,Normal
60,10eadced40c3f8ee,Normal
61,10ebb1c022c6aff3,Access Denied
62,10ef4cf57880f28e,Normal
63,10f3406db530437a,Normal
64,10f3d3794a77a51b,Normal
65,10f57f312093350a,Normal
66,10f746b08dce8e72,Normal
67,10fbb75bada562e2,Access Denied
68,1107921d0fdb1290,Normal
69,110b7333c0206bef,Access Denied
70,110d7dc6ce1da277,Access Denied
71,1112a313f68c37ed,Access Denied
72,1118a659d65433c6,Normal
73,11196ed38bdac511,Access Denied
74,111ccded379187a5,Normal
75,1120f483c4b93a91,Normal
76,112156248c4ffd70,Access Denied
77,112624532eeedcff,Normal
78,112900f504711107,Normal
79,112fe2c107cca587,Access Denied
80,11303d55b1395c87,Normal
81,1130daf9e7c53d02,Normal
82,1130dfde71a26975,Normal
83,1137f66486151cdc,Normal
84,11389725df4730d2,Normal
85,113ab18bfcd712c1,Access Denied
86,113cd105fc75d08e,Access Denied
87,113ec1d059a60fe,Normal
88,113ec6dc032c6f83,Normal
89,1140edf79381d2d0,Normal
90,1144218fa98e9e85,Access Denied
91,1147c70a4808c85b,Access Denied
92,1147eec9565fc9d7,Access Denied
93,1150c3252b9ddea4,Access Denied
94,1151cc505fe7d78,Access Denied
95,1152605ba69c9fb8,Normal
96,1159815f3b3b3f5,Access Denied
97,115efa6dd9db9f1,Normal
98,1172608f0de87fc4,Access Denied
99,11773b6d6e8039e6,Normal
100,1178b9d1c8e7e486,Access Denied
101,1178f8209abd6c25,Access Denied
102,118086f0be37f7aa,Normal
103,1183fa9fb6b685a2,Normal
104,118a1c67b41ce6bd,Access Denied
105,118ac87392555c18,Normal
106,118bd66c24a66dab,Access Denied
107,118c5866dacef0c2,Access Denied
108,11938192682da46f,Normal
109,119f687f62b2960f,Normal
110,11a2242271021011,Normal
111,11a2a91fc673038e,Normal
112,11a44f9851b4d455,Normal
113,11a5b3fae744fcca,Access Denied
114,11a67258eee5bbc6,Normal
115,11a7550c701cf8e9,Normal
116,11a7a801c088b425,Normal
117,11a7e0f70d4301fe,Normal
118,11a98e49cdc43251,Normal
119,11ad305d767a74a4,Normal
120,11ada38eaa998a6c,Access Denied
121,11ae799675aab2eb,Normal
122,11af03d8f880101f,Normal
123,11b5f62c166fde57,Normal
124,11ba10cf846af9e6,Access Denied
125,11c351f4e0859af4,Normal
126,11cbc93183a752d8,Access Denied
127,11cca607af809f85,Access Denied
128,11cf5becf5499061,Access Denied
129,11d02b0a5a64447b,Access Denied
130,11d750c866a0e096,Normal
131,11d7b2a7a8236a8f,Normal
132,11d94eec9e4688c5,Access Denied
133,11e017b68cfe28d9,Normal
134,11e05d959c188659,Access Denied
135,11e41e03f01a2e06,Access Denied
136,11e798375d1a973,Access Denied
137,11e963c6ce84e8c5,Normal
138,11ea434bbb93a00d,Access Denied
139,11ecc0d09235a2cc,Normal
140,11efb2f9914d226b,Normal
141,11f0ceb2c3a7c30a,Access Denied
142,11f21bacaa283990,Access Denied
143,11f884cd7371fee8,Normal
144,11fa58757aaa3325,Normal
145,11fabdbb90b5ebf6,Access Denied
146,11fb4b230ffb10aa,Access Denied
147,11fba72be306c6f7,Access Denied
148,11fc2a6734282f26,Normal
149,11fcd0ffc3e60035,Normal
150,120150883766ce8a,Access Denied
151,1202418486269500,Normal
152,1204bcda90f25fb7,Access Denied
153,1205ccd1952ad215,Normal
154,1206016081455f7b,Normal
155,1208237dd686963a,Access Denied
156,120f2a492c683ed0,Normal
157,1214275c60fdd334,Access Denied
158,121656bfc19d87e7,Access Denied
159,12192de03998aafe,Access Denied
160,121d754cbf627138,Access Denied
161,121e591b3e74e832,Normal
162,122875849eb14d3e,Access Denied
163,122bd646121169a,Normal
164,122e403414ca5423,Normal
165,1234ff64bd490428,Normal
166,1235da6e81ee1290,Access Denied
167,1239a55096446b10,Normal
168,123a26667f578a60,Access Denied
169,123e4ccebc70a3b3,Access Denied
170,124556a7956ca8c9,Normal
171,1249c56227b3b3a1,Access Denied
172,124b05181508b7a5,Access Denied
173,124c9bdea97aff7f,Access Denied
174,12509f345233c4ed,Access Denied
175,1266509744012d6b,Normal
176,1268161596ae467d,Access Denied
177,1268f44ccb716dd7,Normal
178,1277a05729efc6aa,Normal
179,1277d228e19e3b68,Normal
180,1278158e7bcb0028,Access Denied
181,127bfe2dcb346583,Access Denied
182,1285e450af223f94,Normal
183,128bb7a822799826,Normal
184,128cdd2ec92259c4,Normal
185,128f8c98b6e1736,Normal
186,1290018cecb5cf43,Access Denied
187,12ad87e4cb8a3482,Normal
188,12aeba5abba1930e,Access Denied
189,12afd2e4fda38138,Access Denied
190,12b6694c11a3ba13,Access Denied
191,12bc9622cd16f1f0,Normal
192,12c6363e3d31417a,Normal
193,12cdd0da44ca8d47,Access Denied
194,12ce7c68ce3d03aa,Access Denied
195,12d30aa45ea8d6d1,Normal
196,12d409ae4dc59955,Access Denied
197,12d813f709483396,Access Denied
198,12de045ba63fbb7a,Normal
199,12dec229d0566294,Normal
200,12e007b3584af10,Access Denied
201,12e15d691851c1e6,Access Denied
202,12e48f161cb29621,Access Denied
203,12e8a4f63da52d0b,Access Denied
204,12eac50411217a82,Normal
205,12ef6e1d4ec7ec8,Normal
206,12f1172599079cf0,Access Denied
207,12f2b74727c072f2,Access Denied
208,12f673787d04b28d,Normal
209,12fa1d7f92d0093f,Normal
210,12fbdfb04b8e7ca2,Normal
211,1301cab6c629bbd3,Normal
212,1302a3402364e2dc,Access Denied
213,1306ae69f32f7c4a,Access Denied
214,1309a4b485bf5a89,Access Denied
215,130b6a6d05ea9f7,Normal
216,130c660459c77ea2,Normal
217,131390343de76d,Normal
218,1314bfb2a298e266,Access Denied
219,1314c40749e42de2,Normal
220,13182ae5b500e494,Access Denied
221,131b411d60b253f8,Access Denied
222,131ecd9b0baf4ebc,Normal
223,1322ffc7f6115c3a,Normal
224,1324b6df3a7bd9cb,Normal
225,1328d06bdce1166f,Access Denied
226,132cdc869f1c1327,Normal
229,133ac0d4a7d5c4d9,Normal
231,133e1909778d989d,Normal
232,1343dbbbf5162624,Normal
234,1346c4bcb9667b24,Normal
236,134e961c80bdc333,Normal
237,134ec59db8178ff9,Normal
239,135135b48b9eab5d,Normal
240,135362660968107a,Normal
243,13593c14a493bc7f,Normal
248,1370ffe84e7f4ef6,Normal
251,137d370164d5c8f1,Normal
258,13a44c7b169cc04f,Normal
259,13ac60bf5697e458,Normal
260,13b962f4ad91ea5b,Normal
261,13ba9119ffdecea4,Normal
262,13bbd838d1bc7c,Normal
264,13c1d20c61aac044,Normal
266,13cd2d796fee52e1,Normal
268,13d0d5f5a1583e60,Normal
269,13d5061f9def2154,Normal
270,13d8d7bf5f55e157,Normal
272,13e6efa205883e4f,Normal
273,13e872bb759df03,Normal
274,13ee7deba0cb75e9,Normal
278,13fe2a5f565fd0cd,Normal
279,140a4c6ed553d1d5,Normal
281,140cd60ec991bc71,Normal
283,141a8e7981ecb3b6,Normal
284,141c2181780ea712,Normal
285,1422de3e0b879a1b,Normal
286,1424e2e2e93ce6e7,Normal
287,14265babf3389553,Normal
291,14328db56ca6a767,Normal
292,14347e7e87c6a2f9,Normal
293,1434da0ed669de32,Normal
295,143fdf22b889e2aa,Normal
296,14486ef55221f4fd,Normal
297,144d7218e0d42563,Normal
298,144f494add5a6eb1,Normal
299,1452f1a7432bf57b,Normal
300,1455b82a6608d36a,Normal
301,145657e5969255e9,Normal
305,145e544d5e819349,Normal
306,14634c9d505882de,Normal
308,14683984af7a2dd0,Normal
311,146c383c2651edb9,Normal
312,1476c17092449ec8,Normal
313,147e9d876ca392fd,Normal
314,147fd088a87fbca9,Normal
317,148ef1aa4e80c929,Normal
318,1490914cb0ca7c67,Normal
321,14a40ba656a69184,Normal
322,14a4a5fd6105b224,Normal
324,14a6098b1f712093,Normal
325,14a921a33d5fca94,Normal
326,14ae930b39e89a75,Normal
327,14b0c286c6f65893,Normal
328,14b2cf47aa00bcaf,Normal
330,14b62847f50b2e1e,Normal
331,14b648c05a460937,Normal
334,14c21bf87eb546d0,Normal
335,14c58d12719784fe,Normal
336,14c9c86fde71109f,Normal
338,14d58dec3009a116,Normal
341,14ddb6a24fff7a94,Normal
344,14ec583d800168d4,Normal
346,14eeedcd0e2b23c,Normal
347,14f1028a6533f1a,Normal
349,14fa211836ef0a4a,Normal
350,14fa2e290c343d67,Normal
351,14fbbc48f14774e2,Normal
352,14fd70c41ed149a9,Normal
353,14ff69f0f0c430b2,Normal
354,150b480c2c01f27d,Normal
1852,293eb4626b976ea,Login Failure
1856,29496b8fc44fc536,Login Failure
1862,2953eb2c236ce7bd,Login Failure
1866,2959a9df53fedf4d,Login Failure
1868,295d367b9b2aac30,Login Failure
1870,296aa3d541471101,Login Failure
1872,296cccee055e66fd,Login Failure
1875,2986f2e75ce39fe7,Login Failure
1879,29927b329db488e8,Login Failure
1881,29a78034dfbc0068,Login Failure
1883,29a8190df7f1bb3f,Login Failure
1885,29b0854dfb5e9a41,Login Failure
1890,29c42c0a83f63495,Login Failure
1892,29ca72986dcc325c,Login Failure
1893,29caaeae296bc7ee,Login Failure
1895,29d034de2bae8d27,Login Failure
1899,29d75c9e06ef4b05,Login Failure
1905,29e25b372da5336e,Login Failure
1909,29e5f19899627019,Login Failure
1910,29e78fb58f43fb2e,Login Failure
1912,29efaa98db8ac03e,Login Failure
1915,29fb4cbcdf347348,Login Failure
1917,29ffa10a3edcf280,Login Failure
1918,2a0025dd47f2f36c,Login Failure
1919,2a0765edc78d56d9,Login Failure
1920,2a0b46b1e4818c9e,Login Failure
1922,2a0e2e8a9e6e4acb,Login Failure
1925,2a189f785a71ab02,Login Failure
1926,2a1921dad25a6f71,Login Failure
1932,2a2bfe5540d239de,Login Failure
1934,2a2fd12103cfe875,Login Failure
1939,2a483419c60238ce,Login Failure
1941,2a4d8c73ab640de1,Login Failure
1942,2a518342647f3673,Login Failure
1943,2a546d14ab16a6e9,Login Failure
1944,2a55f20868d7c6f6,Login Failure
1945,2a56522acb68045b,Login Failure
1946,2a579f1f4164a8d1,Login Failure
1949,2a668a4a505fb8fb,Login Failure
1950,2a6a0fc9f8095023,Login Failure
1951,2a6b673de09dc3fc,Login Failure
1952,2a6c8e7f55bd5b4e,Login Failure
1954,2a6f6a27d2e7b7a0,Login Failure
1955,2a7026671d36552d,Login Failure
1956,2a71363e3f1aac06,Login Failure
1957,2a753bf867cd25b3,Login Failure
1958,2a78e59b4c378e46,Login Failure
1959,2a7aa46ce5856d29,Login Failure
1961,2a80891e614f1461,Login Failure
1963,2a86e60a0f5b3bd9,Login Failure
1966,2a9ceeaa2784e09e,Login Failure
1967,2aa0c7d38562bbf5,Login Failure
1974,2ab45ea633b61374,Login Failure
1976,2ac0fda22682e719,Login Failure
1979,2ac9a13704b3ea56,Login Failure
1981,2ace1a0b9f9c0147,Login Failure
1982,2acf58e3e030dbf7,Login Failure
1983,2ad09833ef1cb342,Login Failure
1984,2ad2498530047f88,Login Failure
1987,2ae2b6fb7b4be8c1,Login Failure
1988,2ae3c8aeeefcc6ee,Login Failure
1989,2ae43fc9ffa11414,Login Failure
1990,2ae440bf5bb892a0,Login Failure
1991,2ae48c329380f8a6,Login Failure
1993,2ae61b843fb4454a,Login Failure
1996,2aea12f530eeb730,Login Failure
1998,2af3c6479acac2d7,Login Failure
1999,2af46bc3923c4467,Login Failure
2001,2af8736a5d037028,Login Failure
2007,2b1017e0d9bfd2db,Login Failure
2010,2b2070f70d2c8fb2,Login Failure
2013,2b28a12ae51a980f,Login Failure
2019,2b3e15017f89280b,Login Failure
2020,2b3fa4631123bf45,Login Failure
2021,2b43c3a198b79d61,Login Failure
2024,2b4dc1e35c9bb103,Login Failure
2027,2b53733cedb00734,Login Failure
2034,2b75da63dde0f41b,Login Failure
2036,2b7a0bf5714d9496,Login Failure
2040,2b8776c9107b1e9e,Login Failure
2041,2b91df91f5f644f0,Login Failure
2043,2b94319f467a6552,Login Failure
2045,2b9d14d5db04848d,Login Failure
2049,2bac84eed95a4510,Login Failure
2050,2baf573290da2493,Login Failure
2052,2bb71a42e5240bc1,Login Failure
2053,2bbcb8981eddace8,Login Failure
2054,2bbe209643b5eb92,Login Failure
2055,2bc05ce714f9519b,Login Failure
2056,2bc1d89bfe675b71,Login Failure
2058,2bc754634ff2d447,Login Failure
2062,2bcd33f10956703c,Login Failure
2063,2bd01b5562868eba,Login Failure
2064,2bd2ea8c5c200183,Login Failure
2066,2bd49a4ec9ac72,Login Failure
2068,2bda8109fa22f38d,Login Failure
2069,2bdc468b80462128,Login Failure
2070,2bdd65256ab18584,Login Failure
2074,2be2b786c45d79d6,Login Failure
2076,2be39f6965091fc4,Login Failure
12542,b77764f74b8b1cc0,File Missing
12544,b77b632a9a8fa1b,File Missing
12546,b7861f37ca9b9c6f,File Missing
12548,b78ca7654e1a9284,File Missing
12551,b798b98292259dfe,File Missing
12553,b79c2fbc0791fe8f,File Missing
12555,b7a1bd3660266ac,File Missing
12557,b7b3a3aacfe2163f,File Missing
12560,b7baed76ca9646f8,File Missing
12561,b7bc4ab5de8094ce,File Missing
12562,b7be265676d7b310,File Missing
12563,b7bf6cdc44339cf9,File Missing
12564,b7c047739f8a828e,File Missing
12565,b7c064ae68418cd0,File Missing
12566,b7c1874fc860b0d4,File Missing
12567,b7c1e81dcbeb5e68,File Missing
12568,b7c2358e319dcd92,File Missing
12572,b7c97e96d4820286,File Missing
12573,b7cad9f3c682cc3c,File Missing
12575,b7ce845c621afac1,File Missing
12578,b7dfe378c79ebbfc,File Missing
12582,b7efd663a0ed83ed,File Missing
12583,b7f161b95ac9513b,File Missing
12584,b7f24189850dd7c3,File Missing
12587,b7f88afaee0df3e6,File Missing
12588,b7f88d2356fbba92,File Missing
12589,b7fb77d55537c610,File Missing
12595,b80bc36ab8992b67,File Missing
12596,b81140a97039c34b,File Missing
12597,b81360f3402348ed,File Missing
12599,b81cfa4d7967bfec,File Missing
12603,b82a86132a64e13a,File Missing
12606,b82c79cbd9137498,File Missing
12608,b8315576ebde28b,File Missing
12609,b831edfa5c6066d5,File Missing
12612,b839ef8032b6837f,File Missing
12614,b83e5d162ea42a1d,File Missing
12616,b84289e90e502ad5,File Missing
12617,b850752771f9163,File Missing
12621,b8570c1eabf5467a,File Missing
12623,b864d50efa9e43d7,File Missing
12624,b86ce05be790ea9c,File Missing
12625,b86e7dfa186f66f3,File Missing
12627,b873ae57a1dd7651,File Missing
12628,b87b472ebe2c2d34,File Missing
12629,b880fba5e2c0eeb7,File Missing
12630,b88a825acfde9b61,File Missing
12634,b893b1f9c51e16d6,File Missing
12635,b894f5b99f7721c1,File Missing
12641,b8a5266208d6ed77,File Missing
12642,b8b14459992f944e,File Missing
12645,b8b9bfb8bf45d0fe,File Missing
12647,b8bfae61835c19dc,File Missing
12648,b8c90aa42cfd4cc4,File Missing
12650,b8cb4171928e3056,File Missing
12651,b8d218a71d0c7eee,File Missing
12654,b8d9e3dcdbcdabb5,File Missing
12655,b8dac1e3c7a3106b,File Missing
12656,b8dce007bd241986,File Missing
12658,b8dfd48f82526ace,File Missing
12659,b8e01643a2ebeafc,File Missing
12662,b8f28b7df00c359,File Missing
12665,b8f90d2c3fb22f5b,File Missing
12666,b8f97b68562cdee0,File Missing
12668,b90ff80ffb16568d,File Missing
12669,b9103f4d8029f452,File Missing
12672,b926d8cdac18cb66,File Missing
12674,b92d2b6853ff5620,File Missing
12676,b931e584a98eac71,File Missing
12677,b934201ce36faf63,File Missing
12678,b93ad6fe54efae82,File Missing
12684,b949122d03ffda60,File Missing
12687,b95ada3766fac72c,File Missing
12689,b95c645b76adf23b,File Missing
12690,b9609b0060451ca9,File Missing
12691,b9624ff346aea3ce,File Missing
12693,b96da6383f2eb5d2,File Missing
12698,b97a544ebfe68ddb,File Missing
12699,b97f824e10e27b1a,File Missing
12700,b9982bc783ccbce8,File Missing
12705,b9aace9d92a07638,File Missing
12707,b9ad1306a8a0e9e9,File Missing
12708,b9adc76c4b05b5a6,File Missing
12710,b9bb8d2ab764c29,File Missing
12712,b9bce0dfe5cc43ca,File Missing
12714,b9be9d8d9fc58d10,File Missing
12715,b9c8f83ce16c97fb,File Missing
12716,b9ce3e86779e53f5,File Missing
12719,b9d51399ac5bb390,File Missing
12722,b9e22697be8e140,File Missing
12726,b9f37f2a2b2bcd8,File Missing
12727,b9fccef79ede69b1,File Missing
12728,ba0131c5ff84dc96,File Missing
12733,ba0df560f022a237,File Missing
12734,ba0f9a6f2ff13a6e,File Missing
12745,ba4f44661bcb3774,File Missing
12750,ba660ff2f3263401,File Missing
12751,ba6635f8a3bad77b,File Missing
12752,ba66591543977b2a,File Missing
12753,ba6694434944f429,File Missing
